"network","lambda","alpha","mean_f1","f1_sd","mean_time","time_sd"
"4+16",0.1,0.01,0.767948148148,0.0341375720421007,269.535168409348,75.568356157491
"4+16",0.1,0.1,0.9139184661012,0.0151202590220152,1172.97135753632,135.025305933846
"4+2",0,0.01,0.7664285714286,0.0331286231067668,422.603302073479,52.4512041314447
"4+2",0,0.1,0.7585714285714,0.0379536057641055,87.246576666832,10.0696364851589
"4+2",0.001,0.01,0.7742857142858,0.0248464673300751,467.082566809654,57.8455531040877
"4+2",0.001,0.1,0.7742857142858,0.0248464673300751,86.3069207906723,10.8923845683896
"4+2",0.1,0.01,0.7742857142858,0.0248464673300751,499.125926661491,59.8812319222018
"4+2",0.1,0.1,0.7742857142858,0.0248464673300751,86.2926311731339,7.99795475520742
"4+4",0.1,0.01,0.7742857142858,0.0248464673300751,415.902854394913,64.7050947225706
"4+4",0.1,0.1,0.7742857142858,0.0248464673300751,70.5287216424942,7.8141601676204
"4+8",0.1,0.01,0.782142857143,0,328.310532832146,42.1092257291779
"4+8",0.1,0.1,0.790503514854,0.0110720095130278,126.74750289917,91.1850415767973
