layers,neuron,lambda,alpha,f1_mean,variance,standard_deviation,time_execution
1,2,0.0,0.001,0.783571428571,0.00011270408163265391,0.010616217859136742,671.1275146007538
1,16,0.0,0.001,0.783571428571,0.00011270408163265391,0.010616217859136742,452.5971212387085
1,2,0.0,0.01,0.857051215927,4.056907589036021e-05,0.00636938583305802,871.5224084854126
1,16,0.0,0.01,0.866022279402,0.00010685671950833053,0.010337152388754387,925.2277364730835
1,2,0.1,0.001,0.783571428571,0.00011270408163265391,0.010616217859136742,698.741771697998
1,16,0.1,0.001,0.792599493904,9.981604970552657e-06,0.00315936781184981,460.90581345558167
1,2,0.1,0.01,0.857285990632,7.817566235123949e-05,0.00884170019573382,877.256694316864
1,16,0.1,0.01,0.864759123332,0.00020328368642591666,0.014257758814972172,950.7409958839417
