4+16,42.,2.,44.,0.,42.,2.,43.,1.,43.,1.,42.,2.,42.,2.,39.,5.,43.,1.,46.,2.,0.0,0.01,0.963731586182,2.1991095578819994e-06,0.0014829394990632622,2180.6068243980408
4+16,42.,2.,42.,2.,43.,1.,44.,0.,43.,1.,43.,1.,42.,2.,44.,0.,43.,1.,48.,0.,0.0,0.01,0.940199419455,0.00361758191610819,0.06014633751200642,2196.0089251995087
4+16,43.,1.,42.,2.,41.,3.,43.,1.,43.,1.,42.,2.,42.,2.,43.,1.,42.,2.,47.,1.,0.0,0.01,0.962977962864,3.7139299048256765e-06,0.0019271559108763557,2091.140496969223
4+16,43.,1.,44.,0.,42.,2.,44.,0.,43.,1.,41.,3.,40.,4.,43.,1.,43.,1.,47.,1.,0.0,0.01,0.957250704274,3.736369908577179e-07,0.0006112585302944393,2253.443337202072
4+16,43.,1.,43.,1.,43.,1.,43.,1.,42.,2.,43.,1.,41.,3.,43.,1.,42.,2.,46.,2.,0.0,0.01,0.960288235245,6.61427186360432e-06,0.0025718226734369382,2188.265506505966
4+16,43.,1.,43.,1.,43.,1.,42.,2.,42.,2.,44.,0.,42.,2.,41.,3.,44.,0.,46.,2.,0.0,0.01,0.960257222701,1.3932531418017218e-05,0.0037326306297324973,2256.3082122802734
4+16,43.,1.,42.,2.,43.,1.,44.,0.,44.,0.,43.,1.,43.,1.,43.,1.,42.,2.,46.,2.,0.0,0.01,0.959008653418,8.859325895473244e-06,0.0029764619761510885,2191.4784178733826
4+16,43.,1.,43.,1.,38.,6.,44.,0.,43.,1.,43.,1.,43.,1.,42.,2.,41.,3.,48.,0.,0.0,0.01,0.94874611012,0.0011372270240822629,0.03372279680101078,2243.1489906311035
4+16,43.,1.,42.,2.,44.,0.,42.,2.,41.,3.,43.,1.,42.,2.,44.,0.,44.,0.,47.,1.,0.0,0.01,0.952298634883,2.8135131084290165e-05,0.005304255940684816,2113.4401817321777
4+16,42.,2.,44.,0.,43.,1.,44.,0.,43.,1.,42.,2.,42.,2.,43.,1.,41.,3.,46.,2.,0.0,0.01,0.966382429623,6.478795108312618e-06,0.0025453477381907207,2185.695238828659
