4+16,44.,0.,43.,1.,42.,2.,42.,2.,43.,1.,44.,0.,41.,3.,42.,2.,40.,4.,46.,2.,0.1,0.1,0.972564693648,1.716976087468659e-06,0.0013103343418641898,1460.2894825935364
4+16,43.,1.,43.,1.,41.,3.,42.,2.,41.,3.,44.,0.,42.,2.,41.,3.,44.,0.,46.,2.,0.1,0.1,0.972577984509,3.776618385726704e-06,0.001943352357583849,1326.1881265640259
4+16,43.,1.,43.,1.,42.,2.,43.,1.,43.,1.,42.,2.,43.,1.,43.,1.,42.,2.,46.,2.,0.1,0.1,0.977403392427,8.068242820504218e-06,0.0028404652471917726,1392.5810618400574
4+16,39.,5.,42.,2.,44.,0.,42.,2.,42.,2.,43.,1.,43.,1.,43.,1.,44.,0.,46.,2.,0.1,0.1,0.971631916984,1.0309649889598128e-06,0.0010153644611467416,1414.0677301883698
4+16,41.,3.,43.,1.,42.,2.,44.,0.,40.,4.,43.,1.,43.,1.,43.,1.,44.,0.,46.,2.,0.1,0.1,0.975947283428,7.706846845669605e-07,0.0008778864872903332,1434.8405663967133
4+16,42.,2.,44.,0.,44.,0.,42.,2.,44.,0.,42.,2.,39.,5.,44.,0.,41.,3.,48.,0.,0.1,0.1,0.97897811116,4.419198104115111e-05,0.006647704945404174,1390.2935829162598
4+16,42.,2.,43.,1.,43.,1.,43.,1.,42.,2.,43.,1.,42.,2.,43.,1.,42.,2.,47.,1.,0.1,0.1,0.974072474401,2.5003094619699035e-06,0.0015812366875233776,1508.383943080902
4+16,43.,1.,43.,1.,43.,1.,43.,1.,42.,2.,43.,1.,43.,1.,39.,5.,42.,2.,47.,1.,0.1,0.1,0.972420140644,2.9082334816486196e-05,0.0053928039846156284,1472.5306904315948
4+16,44.,0.,41.,3.,42.,2.,44.,0.,40.,4.,42.,2.,41.,3.,44.,0.,44.,0.,47.,1.,0.1,0.1,0.978009211432,1.3143413609125452e-05,0.0036253846153374474,1361.947048664093
4+16,42.,2.,44.,0.,42.,2.,43.,1.,42.,2.,43.,1.,41.,3.,43.,1.,44.,0.,46.,2.,0.1,0.1,0.972947539195,2.1357501295283776e-05,0.004621417671589939,1252.935334444046
