4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,393.7669596672058
4+2,0.0,0.01,0.703571428571,0.00021556122448979542,0.014682003422210316,408.04338693618774
4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,507.6225378513336
4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,433.6146376132965
4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,409.46356177330017
4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,424.5375339984894
4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,328.4535720348358
4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,505.4556493759155
4+2,0.0,0.01,0.703571428571,0.00021556122448979542,0.014682003422210316,405.52697706222534
4+2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,409.54820442199707
