3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,362.0609574317932
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,349.3003599643707
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,434.8351299762726
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,317.3098187446594
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,356.7330114841461
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,317.8641426563263
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,385.3212990760803
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,358.8249251842499
3+4,0.001,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,367.64766359329224
3+4,0.001,0.01,0.703571428571,0.00021556122448979542,0.014682003422210316,348.7677447795868
