2+8,0.,5.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,1.,3.,1.,4.,1.,0.,5.,0.,0.,0.,14.,0.,0.1,0.01,0.633695557831,0.020203679355644703,0.14213964737413942,393.23866057395935
2+8,5.,0.,0.,1.,2.,2.,0.,5.,0.,5.,0.,0.,2.,3.,0.,5.,0.,0.,0.,5.,0.,5.,0.,0.,3.,2.,0.,10.,4.,0.,0.1,0.01,0.632770227082,0.0004585540547362257,0.021413875285343047,385.6111989021301
2+8,0.,5.,0.,5.,0.,0.,4.,1.,0.,5.,0.,0.,1.,3.,1.,0.,5.,0.,3.,2.,0.,4.,1.,0.,1.,4.,0.,13.,1.,0.,0.1,0.01,0.572911860103,0.0045685760222980145,0.06759124220117585,386.16389060020447
2+8,4.,1.,0.,5.,0.,0.,5.,0.,0.,4.,1.,0.,1.,2.,2.,4.,1.,0.,1.,4.,0.,5.,0.,0.,2.,3.,0.,2.,12.,0.,0.1,0.01,0.731037618375,0.001796208223955925,0.042381696803643024,395.6660373210907
2+8,2.,3.,0.,5.,0.,0.,2.,3.,0.,3.,2.,0.,0.,5.,0.,5.,0.,0.,3.,0.,2.,2.,3.,0.,4.,1.,0.,9.,5.,0.,0.1,0.01,0.642823421184,0.001128035707078284,0.03358624282467874,365.20822930336
2+8,0.,5.,0.,5.,0.,0.,1.,4.,0.,4.,1.,0.,1.,4.,0.,1.,4.,0.,0.,5.,0.,0.,5.,0.,4.,1.,0.,0.,14.,0.,0.1,0.01,0.516562871325,0.009365837332423684,0.09677725627658434,382.57858657836914
2+8,5.,0.,0.,2.,3.,0.,5.,0.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,3.,2.,0.,5.,0.,0.,3.,2.,0.,10.,3.,1.,0.1,0.01,0.632469229374,0.0022819914982774195,0.04777019466442878,407.4711332321167
2+8,5.,0.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,0.,5.,0.,2.,3.,0.,0.,14.,0.,0.1,0.01,0.575319881495,0.01481046665169842,0.12169826067655372,355.3016052246094
2+8,3.,2.,0.,4.,1.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,3.,2.,0.,5.,0.,0.,12.,2.,0.,0.1,0.01,0.551186470139,0.0046187106688609855,0.06796109673085761,376.3719983100891
2+8,1.,4.,0.,2.,3.,0.,0.,5.,0.,0.,5.,0.,2.,3.,0.,0.,5.,0.,5.,0.,0.,3.,2.,0.,4.,1.,0.,0.,14.,0.,0.1,0.01,0.499310929177,0.012201812524218082,0.11046181477876453,361.73298501968384
