3+8,0.,5.,0.,0.,5.,0.,2.,3.,0.,3.,2.,0.,0.,5.,0.,0.,4.,1.,0.,5.,0.,0.,5.,0.,1.,4.,0.,0.,13.,1.,0.0,0.01,0.368578097158,0.0008596261883871646,0.02931938246940349,392.6777911186218
3+8,3.,2.,0.,5.,0.,0.,2.,3.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,4.,1.,0.,3.,1.,1.,0.,14.,0.,0.0,0.01,0.515507074221,0.01056450753876327,0.10278379025295414,385.1298117637634
3+8,3.,2.,0.,0.,5.,0.,0.,5.,0.,1.,4.,0.,1.,4.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,10.,4.,0.,0.0,0.01,0.404764123984,0.006061292529520297,0.07785430321774318,330.0967080593109
3+8,4.,1.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,4.,1.,0.,3.,2.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,9.,5.,0.,0.0,0.01,0.494256121687,0.010255776172384524,0.10127080612093756,334.4678466320038
3+8,3.,2.,0.,0.,5.,0.,0.,5.,0.,4.,1.,0.,2.,3.,0.,4.,0.,1.,0.,3.,2.,0.,5.,0.,0.,5.,0.,6.,8.,0.,0.0,0.01,0.491086271506,2.4257446338035225e-05,0.0049251849039437315,350.7406163215637
3+8,5.,0.,0.,0.,5.,0.,3.,2.,0.,0.,5.,0.,4.,1.,0.,0.,5.,0.,0.,5.,0.,4.,1.,0.,0.,5.,0.,0.,14.,0.,0.0,0.01,0.436420387294,0.006048854794847059,0.07777438392457416,367.93932342529297
3+8,3.,2.,0.,0.,5.,0.,1.,4.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,1.,4.,0.,0.,5.,0.,0.,14.,0.,0.0,0.01,0.399625425686,0.003985031058043648,0.06312710240493895,372.0533986091614
3+8,0.,5.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,4.,1.,0.,0.,0.,5.,4.,1.,0.,5.,0.,0.,1.,4.,0.,0.,14.,0.,0.0,0.01,0.477082272043,0.007677458548070551,0.0876211078911386,423.8390612602234
3+8,2.,2.,1.,5.,0.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,2.,3.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,3.,11.,0.,0.0,0.01,0.473976692486,9.388854907753345e-07,0.0009689610367684216,353.74126505851746
3+8,1.,4.,0.,0.,5.,0.,2.,3.,0.,2.,3.,0.,4.,1.,0.,2.,2.,1.,5.,0.,0.,1.,4.,0.,5.,0.,0.,0.,14.,0.,0.0,0.01,0.541505472351,0.012322155673322725,0.11100520561362302,331.8627870082855
