3+8,40.,10.,50.,0.,50.,0.,50.,0.,27.,23.,50.,0.,44.,6.,50.,0.,50.,0.,50.,0.,0.0,0.1,0.771962389625,6.601679107679371e-05,0.008125071758255043,599.4152784347534
3+8,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,43.,7.,34.,16.,50.,0.,0.0,0.1,0.787718991081,0.00017181302189288558,0.013107746636736826,504.4232416152954
3+8,42.,8.,37.,13.,50.,0.,50.,0.,50.,0.,48.,2.,44.,6.,39.,11.,50.,0.,42.,8.,0.0,0.1,0.800672580577,2.4416723839708636e-05,0.004941328145317677,1453.6037509441376
3+8,50.,0.,45.,5.,43.,7.,50.,0.,50.,0.,50.,0.,41.,9.,50.,0.,32.,18.,50.,0.,0.0,0.1,0.784486622158,0.00014606128824866548,0.012085581833269984,973.5588750839233
3+8,34.,16.,50.,0.,32.,18.,39.,11.,48.,2.,50.,0.,50.,0.,50.,0.,50.,0.,41.,9.,0.0,0.1,0.776124334588,0.0008610169913819113,0.029343091033187205,1215.745199918747
3+8,44.,6.,50.,0.,42.,8.,50.,0.,38.,12.,46.,4.,50.,0.,50.,0.,43.,7.,50.,0.,0.0,0.1,0.792426505696,0.00021305470224600745,0.014596393467086568,1104.499306678772
3+8,48.,2.,50.,0.,43.,7.,50.,0.,50.,0.,44.,6.,40.,10.,50.,0.,50.,0.,50.,0.,0.0,0.1,0.813724556554,0.00045502984228675556,0.021331428510223023,1137.479009628296
3+8,50.,0.,50.,0.,50.,0.,45.,5.,44.,6.,50.,0.,50.,0.,47.,3.,50.,0.,50.,0.,0.0,0.1,0.806090069135,0.00035786013837355826,0.01891719160905123,804.2360489368439
3+8,37.,13.,37.,13.,44.,6.,46.,4.,50.,0.,50.,0.,48.,2.,50.,0.,50.,0.,41.,9.,0.0,0.1,0.80070193237,1.0366057631008183e-06,0.0010181383811156608,1321.6613087654114
3+8,50.,0.,50.,0.,38.,12.,50.,0.,50.,0.,42.,8.,50.,0.,23.,27.,50.,0.,33.,17.,0.0,0.1,0.764274542662,0.0004835491798668274,0.021989751700890743,865.4318308830261
